ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,FeedPrice,FeedPrice_lower,FeedPrice_upper,LayinghenPrice,LayinghenPrice_lower,LayinghenPrice_upper,Stock,Stock_lower,Stock_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-08-22,3.3816495543970375,3.428992626369188,3.6834812245039883,3.3816495543970375,3.3816495543970375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17368394455356853,0.17368394455356853,0.17368394455356853,0.0,0.0,0.0,0.17368394455356853,0.17368394455356853,0.17368394455356853,0.0,0.0,0.0,3.5553334989506062
2022-08-29,3.396096583872942,3.462335382864606,3.713912720406291,3.396096583872942,3.396096583872942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19417603066642108,0.19417603066642108,0.19417603066642108,0.0,0.0,0.0,0.19417603066642108,0.19417603066642108,0.19417603066642108,0.0,0.0,0.0,3.590272614539363
2022-09-05,3.4133680155834836,3.4989827113969905,3.7470083107289227,3.4133680155834836,3.4133680155834836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20757019377254607,0.20757019377254607,0.20757019377254607,0.0,0.0,0.0,0.20757019377254607,0.20757019377254607,0.20757019377254607,0.0,0.0,0.0,3.6209382093560296
2022-09-12,3.430639447294025,3.5328969863851367,3.7798829246675334,3.430639447294025,3.430639447294025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22852741071122365,0.22852741071122365,0.22852741071122365,0.0,0.0,0.0,0.22852741071122365,0.22852741071122365,0.22852741071122365,0.0,0.0,0.0,3.659166858005249
2022-09-19,3.447910879004567,3.5758483552319014,3.8345451591161144,3.447910879004567,3.447910879004567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26035262583396024,0.26035262583396024,0.26035262583396024,0.0,0.0,0.0,0.26035262583396024,0.26035262583396024,0.26035262583396024,0.0,0.0,0.0,3.7082635048385275
2022-09-26,3.4651823107151087,3.624120583935271,3.881286228812849,3.4651823107151087,3.4651823107151087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2892260654879244,0.2892260654879244,0.2892260654879244,0.0,0.0,0.0,0.2892260654879244,0.2892260654879244,0.2892260654879244,0.0,0.0,0.0,3.754408376203033
2022-10-03,3.4824537424256503,3.656769342037865,3.9070517898029578,3.4824537424256503,3.4824537424256503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29750512464191275,0.29750512464191275,0.29750512464191275,0.0,0.0,0.0,0.29750512464191275,0.29750512464191275,0.29750512464191275,0.0,0.0,0.0,3.7799588670675632
2022-10-10,3.4997251741361923,3.6652570497014274,3.9038173187821403,3.4997251741361923,3.4997251741361923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27990528986983937,0.27990528986983937,0.27990528986983937,0.0,0.0,0.0,0.27990528986983937,0.27990528986983937,0.27990528986983937,0.0,0.0,0.0,3.779630464006032
2022-10-17,3.517009017109304,3.630345886357342,3.8819752953834796,3.517009017109304,3.517009017109304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2460571148435212,0.2460571148435212,0.2460571148435212,0.0,0.0,0.0,0.2460571148435212,0.2460571148435212,0.2460571148435212,0.0,0.0,0.0,3.7630661319528254
2022-10-24,3.5342928600824153,3.6238965621871486,3.8725966851464393,3.5342928600824153,3.5342928600824153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2100624206576259,0.2100624206576259,0.2100624206576259,0.0,0.0,0.0,0.2100624206576259,0.2100624206576259,0.2100624206576259,0.0,0.0,0.0,3.744355280740041
